,Month_ending,Year,County,State,Primary_use,Battery_BEVs,Hybrid_(PHEVs),EV_Total,Non-Electric_Total,Total_Veh,%_Electric,Proximity
0,April,2017,Pinal,AZ,Passenger,2,0,2,254,256,0.78,Nearest
1,April,2017,Island,WA,Passenger,108,128,236,59768,60004,0.39,Washington
2,April,2017,Clark,WA,Truck,0,0,0,77561,77561,0.0,Washington
3,April,2017,Allegheny,PA,Passenger,1,0,1,93,94,1.06,Furthest
4,April,2017,Shelby,TN,Passenger,0,1,1,109,110,0.91,Furthest
5,April,2017,Dale,AL,Passenger,0,1,1,65,66,1.52,Furthest
6,April,2017,Jefferson,WA,Passenger,98,56,154,23744,23898,0.64,Washington
8,April,2017,Harnett,NC,Passenger,1,0,1,257,258,0.39,Furthest
9,April,2017,Salt Lake,UT,Passenger,0,1,1,289,290,0.34,Nearest
10,April,2017,Yakima,WA,Truck,0,0,0,57219,57219,0.0,Washington
11,April,2017,Montgomery,PA,Passenger,1,0,1,41,42,2.38,Furthest
12,April,2017,Skamania,WA,Truck,0,0,0,3874,3874,0.0,Washington
13,April,2017,Whitman,WA,Passenger,9,19,28,21964,21992,0.13,Washington
14,April,2017,Utah,UT,Passenger,0,1,1,164,165,0.61,Nearest
15,April,2017,Clark,WA,Passenger,755,471,1226,298474,299700,0.41,Washington
16,April,2017,Adams,WA,Passenger,2,3,5,12128,12133,0.04,Washington
17,April,2017,Franklin,WA,Passenger,27,47,74,55348,55422,0.13,Washington
18,April,2017,Ferry,WA,Truck,0,0,0,3549,3549,0.0,Washington
19,April,2017,San Juan,WA,Truck,0,0,0,5551,5551,0.0,Washington
20,April,2017,Los Angeles,CA,Passenger,3,1,4,1345,1349,0.3,Nearest
21,April,2017,Lee,AL,Passenger,1,0,1,35,36,2.78,Furthest
22,April,2017,Klickitat,WA,Passenger,22,23,45,14768,14813,0.3,Washington
23,April,2017,Clark,NV,Passenger,1,3,4,857,861,0.46,Nearest
24,April,2017,Tarrant,TX,Passenger,0,2,2,273,275,0.73,Mid-Distance
25,April,2017,Skagit,WA,Truck,1,0,1,31395,31396,0.0,Washington
26,April,2017,Monterey,CA,Passenger,0,1,1,210,211,0.47,Nearest
27,April,2017,San Juan,WA,Passenger,98,35,133,13479,13612,0.98,Washington
28,April,2017,Douglas,OR,Passenger,0,1,1,74,75,1.33,Nearest
29,April,2017,Montgomery,TN,Passenger,1,0,1,293,294,0.34,Furthest
30,April,2017,Adams,WA,Truck,0,0,0,5072,5072,0.0,Washington
31,April,2017,Lewis,WA,Passenger,46,33,79,55192,55271,0.14,Washington
32,April,2017,Lane,OR,Passenger,0,1,1,247,248,0.4,Nearest
33,April,2017,Whatcom,WA,Truck,2,0,2,41449,41451,0.0,Washington
34,April,2017,Lincoln,WA,Truck,0,0,0,4464,4464,0.0,Washington
35,April,2017,Cobb,GA,Passenger,0,1,1,77,78,1.28,Furthest
36,April,2017,Juneau,AK,Passenger,0,1,1,53,54,1.85,Nearest
37,April,2017,Morris,NJ,Passenger,1,0,1,22,23,4.35,Furthest
38,April,2017,Grays Harbor,WA,Truck,0,0,0,19850,19850,0.0,Washington
39,April,2017,Wayne,MI,Passenger,0,1,1,70,71,1.41,Furthest
40,April,2017,Okanogan,WA,Passenger,3,16,19,25595,25614,0.07,Washington
41,April,2017,Canyon,ID,Passenger,0,1,1,102,103,0.97,Nearest
42,April,2017,Kitsap,WA,Truck,1,0,1,52312,52313,0.0,Washington
43,April,2017,Fulton,GA,Passenger,1,1,2,119,121,1.65,Furthest
44,April,2017,Manatee,FL,Passenger,1,0,1,48,49,2.04,Furthest
45,April,2017,Garfield,WA,Truck,0,0,0,938,938,0.0,Washington
46,April,2017,Nassau,NY,Passenger,0,1,1,40,41,2.44,Furthest
47,April,2017,Multnomah,OR,Passenger,0,3,3,1068,1071,0.28,Nearest
48,April,2017,Lewis,WA,Truck,0,0,0,24797,24797,0.0,Washington
49,April,2017,Asotin,WA,Passenger,6,2,8,12343,12351,0.06,Washington
50,April,2017,Latah,ID,Passenger,0,1,1,120,121,0.83,Nearest
51,April,2017,Santa Clara,CA,Passenger,6,2,8,411,419,1.91,Nearest
52,April,2017,Moore,NC,Passenger,0,1,1,205,206,0.49,Furthest
53,April,2017,Thurston,WA,Passenger,385,319,704,185729,186433,0.38,Washington
54,April,2017,Middlesex,MA,Passenger,1,0,1,148,149,0.67,Furthest
55,April,2017,Bexar,TX,Passenger,1,0,1,1025,1026,0.1,Mid-Distance
56,April,2017,Walla Walla,WA,Passenger,22,24,46,34828,34874,0.13,Washington
57,April,2017,Stevens,WA,Passenger,8,22,30,31233,31263,0.1,Washington
58,April,2017,Okanogan,WA,Truck,0,0,0,16256,16256,0.0,Washington
59,April,2017,Pierce,WA,Truck,0,0,0,137818,137818,0.0,Washington
60,April,2017,Douglas,WA,Passenger,31,21,52,26603,26655,0.2,Washington
61,April,2017,Franklin,WA,Truck,0,0,0,17995,17995,0.0,Washington
62,April,2017,Manassas,VA,Passenger,0,1,1,10,11,9.09,Furthest
63,April,2017,Albemarle,VA,Passenger,0,1,1,31,32,3.12,Furthest
64,April,2017,Prince George's,MD,Passenger,0,1,1,182,183,0.55,Furthest
65,April,2017,Hamilton,TN,Passenger,1,0,1,26,27,3.7,Furthest
66,April,2017,Tulare,CA,Passenger,1,0,1,194,195,0.51,Nearest
67,April,2017,Franklin,MA,Passenger,0,1,1,4,5,20.0,Furthest
68,April,2017,Hardin,KY,Passenger,0,1,1,123,124,0.81,Furthest
69,April,2017,Fairfax,VA,Passenger,2,2,4,860,864,0.46,Furthest
70,April,2017,Okaloosa,FL,Passenger,1,0,1,194,195,0.51,Furthest
71,April,2017,Spokane,WA,Truck,1,0,1,90266,90267,0.0,Washington
72,April,2017,Hamilton,IN,Passenger,1,0,1,61,62,1.61,Furthest
73,April,2017,Muscogee,GA,Passenger,0,1,1,247,248,0.4,Furthest
74,April,2017,Nueces,TX,Passenger,0,1,1,98,99,1.01,Mid-Distance
75,April,2017,King,WA,Truck,8,1,9,188938,188947,0.0,Washington
76,April,2017,Franklin,OH,Passenger,0,1,1,126,127,0.79,Furthest
77,April,2017,Klickitat,WA,Truck,0,0,0,7954,7954,0.0,Washington
78,April,2017,Virginia Beach,VA,Passenger,2,1,3,645,648,0.46,Furthest
79,April,2017,Bergen,NJ,Passenger,0,2,2,32,34,5.88,Furthest
80,April,2017,Orleans,LA,Passenger,0,1,1,49,50,2.0,Mid-Distance
81,April,2017,San Diego,CA,Passenger,5,1,6,2768,2774,0.22,Nearest
82,April,2017,Clallam,WA,Passenger,80,68,148,48127,48275,0.31,Washington
83,April,2017,Thurston,WA,Truck,0,0,0,53255,53255,0.0,Washington
84,April,2017,Anne Arundel,MD,Passenger,0,1,1,500,501,0.2,Furthest
85,April,2017,Saratoga,NY,Passenger,1,1,2,75,77,2.6,Furthest
86,April,2017,Pacific,WA,Truck,0,0,0,7464,7464,0.0,Washington
87,April,2017,Cumberland,NC,Passenger,1,0,1,612,613,0.16,Furthest
88,April,2017,Marion,OR,Passenger,1,0,1,181,182,0.55,Nearest
89,April,2017,Marin,CA,Passenger,1,0,1,60,61,1.64,Nearest
90,April,2017,Columbia,WA,Truck,0,0,0,1536,1536,0.0,Washington
91,April,2017,El Paso,CO,Passenger,1,1,2,820,822,0.24,Mid-Distance
92,April,2017,Lincoln,WA,Passenger,2,4,6,7481,7487,0.08,Washington
93,April,2017,St. Lucie,FL,Passenger,1,0,1,32,33,3.03,Furthest
94,April,2017,DeKalb,IN,Passenger,1,0,1,1,2,50.0,Furthest
95,April,2017,Richmond,GA,Passenger,0,1,1,93,94,1.06,Furthest
96,April,2017,Essex,NJ,Passenger,1,0,1,16,17,5.88,Furthest
97,April,2017,Santa Fe,NM,Passenger,0,1,1,44,45,2.22,Mid-Distance
98,April,2017,Travis,TX,Passenger,0,1,1,195,196,0.51,Mid-Distance
99,April,2017,Deschutes,OR,Passenger,1,0,1,198,199,0.5,Nearest
100,April,2017,Gwinnett,GA,Passenger,0,1,1,87,88,1.14,Furthest
101,April,2017,Grant,WA,Truck,0,0,0,25091,25091,0.0,Washington
102,April,2017,Norfolk,MA,Passenger,1,0,1,38,39,2.56,Furthest
103,April,2017,Clackamas,OR,Passenger,1,1,2,325,327,0.61,Nearest
104,April,2017,Ventura,CA,Passenger,0,1,1,362,363,0.28,Nearest
105,April,2017,Pacific,WA,Passenger,9,8,17,15082,15099,0.11,Washington
106,April,2017,Jefferson,WA,Truck,0,0,0,9442,9442,0.0,Washington
107,April,2017,Missoula,MT,Passenger,1,0,1,77,78,1.28,Nearest
108,April,2017,Charles,MD,Passenger,0,1,1,90,91,1.1,Furthest
109,April,2017,Volusia,FL,Passenger,0,1,1,47,48,2.08,Furthest
110,April,2017,Yakima,WA,Passenger,38,54,92,159283,159375,0.06,Washington
111,April,2017,Duval,FL,Passenger,1,1,2,378,380,0.53,Furthest
112,April,2017,Prince William,VA,Passenger,0,3,3,275,278,1.08,Furthest
113,April,2017,Orange,CA,Passenger,2,1,3,646,649,0.46,Nearest
114,April,2017,Walla Walla,WA,Truck,0,0,0,13177,13177,0.0,Washington
115,April,2017,Chelan,WA,Truck,0,0,0,21208,21208,0.0,Washington
116,April,2017,Madison,ID,Passenger,1,0,1,41,42,2.38,Nearest
117,April,2017,Grant,WA,Passenger,18,21,39,60489,60528,0.06,Washington
118,April,2017,Whitman,WA,Truck,0,0,0,8380,8380,0.0,Washington
119,April,2017,Lewis,NY,Passenger,0,1,1,10,11,9.09,Furthest
120,April,2017,Maui,HI,Passenger,1,0,1,72,73,1.37,Nearest
121,April,2017,Santa Rosa,FL,Passenger,1,0,1,109,110,0.91,Furthest
122,April,2017,Spokane,WA,Passenger,236,208,444,295746,296190,0.15,Washington
123,April,2017,Grays Harbor,WA,Passenger,29,30,59,44477,44536,0.13,Washington
124,April,2017,Maricopa,AZ,Passenger,2,0,2,1800,1802,0.11,Nearest
125,April,2017,Wahkiakum,WA,Passenger,0,2,2,2848,2850,0.07,Washington
126,April,2017,Nantucket,MA,Passenger,1,0,1,3,4,25.0,Furthest
127,April,2017,Skamania,WA,Passenger,9,8,17,8521,8538,0.2,Washington
128,April,2017,Arlington,VA,Passenger,1,1,2,166,168,1.19,Furthest
129,April,2017,New London,CT,Passenger,1,1,2,257,259,0.77,Furthest
130,April,2017,Mason,WA,Truck,0,0,0,19242,19242,0.0,Washington
131,April,2017,Pima,AZ,Passenger,0,2,2,442,444,0.45,Nearest
132,April,2017,New Haven,CT,Passenger,0,1,1,60,61,1.64,Furthest
133,April,2017,Norfolk,VA,Passenger,1,1,2,301,303,0.66,Furthest
134,April,2017,DeKalb,GA,Passenger,1,0,1,84,85,1.18,Furthest
135,April,2017,Hidalgo,TX,Passenger,0,1,1,98,99,1.01,Mid-Distance
136,April,2017,King,WA,Passenger,9558,3882,13440,1378548,1391988,0.97,Washington
137,April,2017,Orange,FL,Passenger,1,1,2,149,151,1.32,Furthest
138,April,2017,Clallam,WA,Truck,0,0,0,20962,20962,0.0,Washington
139,April,2017,Sumter,FL,Passenger,0,1,1,10,11,9.09,Furthest
140,April,2017,Pierce,WA,Passenger,917,807,1724,525754,527478,0.33,Washington
141,April,2017,Jefferson,NY,Passenger,1,1,2,255,257,0.78,Furthest
142,April,2017,Benton,WA,Passenger,143,140,283,128087,128370,0.22,Washington
143,April,2017,Island,WA,Truck,0,0,0,20526,20526,0.0,Washington
144,April,2017,Cape May,NJ,Passenger,0,1,1,18,19,5.26,Furthest
145,April,2017,Guilford,NC,Passenger,1,0,1,31,32,3.12,Furthest
146,April,2017,Kittitas,WA,Truck,0,0,0,13478,13478,0.0,Washington
147,April,2017,San Mateo,CA,Passenger,0,1,1,158,159,0.63,Nearest
148,April,2017,District of Columbia,DC,Passenger,0,3,3,225,228,1.32,Furthest
149,April,2017,Skagit,WA,Passenger,123,97,220,87597,87817,0.25,Washington
150,April,2017,Stevens,WA,Truck,0,0,0,18286,18286,0.0,Washington
151,April,2017,Cowlitz,WA,Truck,0,0,0,27856,27856,0.0,Washington
152,April,2017,Snohomish,WA,Passenger,1709,861,2570,512767,515337,0.5,Washington
153,April,2017,Riverside,CA,Passenger,1,1,2,829,831,0.24,Nearest
154,April,2017,Dallas,TX,Passenger,0,1,1,196,197,0.51,Mid-Distance
155,April,2017,Alameda,CA,Passenger,2,1,3,379,382,0.79,Nearest
156,April,2017,Portsmouth,VA,Passenger,0,1,1,68,69,1.45,Furthest
157,April,2017,Jackson,MO,Passenger,1,0,1,68,69,1.45,Furthest
158,April,2017,Ferry,WA,Passenger,2,1,3,4397,4400,0.07,Washington
159,April,2017,Kitsap,WA,Passenger,584,298,882,172672,173554,0.51,Washington
160,April,2017,Dakota,MN,Passenger,0,1,1,40,41,2.44,Mid-Distance
161,April,2017,Douglas,WA,Truck,0,0,0,11451,11451,0.0,Washington
162,April,2017,Wahkiakum,WA,Truck,0,0,0,1631,1631,0.0,Washington
163,April,2017,Honolulu,HI,Passenger,4,2,6,604,610,0.98,Nearest
164,April,2017,Montgomery,MD,Passenger,1,0,1,308,309,0.32,Furthest
165,April,2017,Chelan,WA,Passenger,55,31,86,51695,51781,0.17,Washington
166,April,2017,Mason,WA,Passenger,49,64,113,43002,43115,0.26,Washington
167,April,2017,Polk,FL,Passenger,1,0,1,67,68,1.47,Furthest
168,April,2017,Kent,MI,Passenger,0,1,1,37,38,2.63,Furthest
169,April,2017,Hawaii,HI,Passenger,1,0,1,84,85,1.18,Nearest
170,April,2017,Cascade,MT,Passenger,0,1,1,61,62,1.61,Nearest
171,April,2017,Northampton,PA,Passenger,2,0,2,192,194,1.03,Furthest
172,April,2017,Columbia,WA,Passenger,0,1,1,2358,2359,0.04,Washington
173,April,2017,Asotin,WA,Truck,0,0,0,6504,6504,0.0,Washington
174,April,2017,Dane,WI,Passenger,1,0,1,138,139,0.72,Mid-Distance
175,April,2017,Whatcom,WA,Passenger,441,159,600,142459,143059,0.42,Washington
176,April,2017,Carroll,NH,Passenger,0,1,1,0,1,100.0,Furthest
177,April,2017,Monroe,NY,Passenger,1,0,1,27,28,3.57,Furthest
178,April,2017,Garfield,WA,Passenger,0,0,0,1283,1283,0.0,Washington
179,April,2017,Palm Beach,FL,Passenger,0,1,1,100,101,0.99,Furthest
180,April,2017,Pend Oreille,WA,Truck,0,0,0,5586,5586,0.0,Washington
181,April,2017,Benton,WA,Truck,0,0,0,39892,39892,0.0,Washington
182,April,2017,Pend Oreille,WA,Passenger,1,4,5,9320,9325,0.05,Washington
183,April,2017,Cowlitz,WA,Passenger,52,48,100,69320,69420,0.14,Washington
184,April,2017,Kittitas,WA,Passenger,21,17,38,27202,27240,0.14,Washington
185,April,2017,Snohomish,WA,Truck,1,0,1,122009,122010,0.0,Washington
186,April,2017,Howard,MD,Passenger,0,2,2,90,92,2.17,Furthest
187,April,2018,Howard,MD,Passenger,0,1,1,85,86,1.16,Furthest
188,April,2018,Lincoln,WA,Truck,0,0,0,4532,4532,0.0,Washington
189,April,2018,Norfolk,VA,Passenger,1,2,3,326,329,0.91,Furthest
190,April,2018,Santa Clara,CA,Passenger,6,1,7,380,387,1.81,Nearest
191,April,2018,Franklin,WA,Truck,0,0,0,18597,18597,0.0,Washington
192,April,2018,Los Angeles,CA,Passenger,6,4,10,1172,1182,0.85,Nearest
193,April,2018,Charles,MD,Passenger,0,1,1,82,83,1.2,Furthest
194,April,2018,Grays Harbor,WA,Passenger,47,52,99,46287,46386,0.21,Washington
195,April,2018,Ferry,WA,Truck,0,0,0,3499,3499,0.0,Washington
196,April,2018,Riverside,CA,Passenger,2,2,4,706,710,0.56,Nearest
197,April,2018,Spokane,WA,Truck,1,0,1,92061,92062,0.0,Washington
198,April,2018,Gwinnett,GA,Passenger,0,1,1,80,81,1.23,Furthest
199,April,2018,Latah,ID,Passenger,0,1,1,78,79,1.27,Nearest
200,April,2018,Montgomery,TX,Passenger,1,0,1,63,64,1.56,Mid-Distance
201,April,2018,Lee,FL,Passenger,1,0,1,58,59,1.69,Furthest
202,April,2018,Yakima,WA,Truck,0,0,0,58216,58216,0.0,Washington
203,April,2018,Flathead,MT,Passenger,1,0,1,51,52,1.92,Nearest
204,April,2018,Monterey,CA,Passenger,0,1,1,188,189,0.53,Nearest
205,April,2018,Benton,WA,Passenger,178,188,366,130946,131312,0.28,Washington
206,April,2018,Skamania,WA,Truck,0,0,0,3922,3922,0.0,Washington
207,April,2018,Thurston,WA,Truck,0,0,0,54065,54065,0.0,Washington
208,April,2018,Tulsa,OK,Passenger,0,1,1,47,48,2.08,Mid-Distance
209,April,2018,Whatcom,WA,Truck,2,0,2,42122,42124,0.0,Washington
210,April,2018,Columbia,WA,Passenger,2,1,3,2414,2417,0.12,Washington
211,April,2018,Montgomery,TN,Passenger,1,0,1,270,271,0.37,Furthest
212,April,2018,Douglas,WA,Passenger,41,32,73,27438,27511,0.27,Washington
213,April,2018,Franklin,MA,Passenger,0,1,1,2,3,33.33,Furthest
214,April,2018,Thurston,WA,Passenger,523,444,967,191803,192770,0.5,Washington
215,April,2018,Essex,NJ,Passenger,1,0,1,11,12,8.33,Furthest
216,April,2018,Fairfax,VA,Passenger,2,2,4,832,836,0.48,Furthest
217,April,2018,Kent,MI,Passenger,0,1,1,33,34,2.94,Furthest
218,April,2018,Volusia,FL,Passenger,0,1,1,33,34,2.94,Furthest
219,April,2018,Cowlitz,WA,Passenger,55,73,128,71356,71484,0.18,Washington
220,April,2018,San Juan,WA,Passenger,141,53,194,13961,14155,1.37,Washington
221,April,2018,Richland,SC,Passenger,0,1,1,173,174,0.57,Furthest
222,April,2018,Garfield,WA,Passenger,1,0,1,1330,1331,0.08,Washington
223,April,2018,Walla Walla,WA,Truck,0,0,0,13332,13332,0.0,Washington
224,April,2018,Beaufort,SC,Passenger,1,0,1,38,39,2.56,Furthest
225,April,2018,Cowlitz,WA,Truck,0,0,0,28292,28292,0.0,Washington
226,April,2018,Mason,WA,Passenger,71,87,158,45392,45550,0.35,Washington
227,April,2018,Pacific,WA,Passenger,14,19,33,15488,15521,0.21,Washington
228,April,2018,Santa Rosa,FL,Passenger,1,0,1,100,101,0.99,Furthest
229,April,2018,Nantucket,MA,Passenger,1,0,1,4,5,20.0,Furthest
230,April,2018,Prince George,VA,Passenger,0,1,1,73,74,1.35,Furthest
231,April,2018,Northampton,PA,Passenger,0,1,1,64,65,1.54,Furthest
232,April,2018,Maricopa,AZ,Passenger,2,1,3,1572,1575,0.19,Nearest
233,April,2018,Okaloosa,FL,Passenger,1,0,1,172,173,0.58,Furthest
234,April,2018,Pinal,AZ,Passenger,2,0,2,207,209,0.96,Nearest
235,April,2018,Ventura,CA,Passenger,0,1,1,319,320,0.31,Nearest
236,April,2018,Snohomish,WA,Truck,1,0,1,121256,121257,0.0,Washington
237,April,2018,Lane,OR,Passenger,0,1,1,190,191,0.52,Nearest
238,April,2018,Yakima,WA,Passenger,62,84,146,163240,163386,0.09,Washington
239,April,2018,Twin Falls,ID,Passenger,0,1,1,23,24,4.17,Nearest
240,April,2018,Prince William,VA,Passenger,0,4,4,265,269,1.49,Furthest
241,April,2018,New Haven,CT,Passenger,0,1,1,50,51,1.96,Furthest
242,April,2018,Anne Arundel,MD,Passenger,0,2,2,448,450,0.44,Furthest
243,April,2018,Skamania,WA,Passenger,12,8,20,8705,8725,0.23,Washington
244,April,2018,Chelan,WA,Passenger,98,45,143,53398,53541,0.27,Washington
245,April,2018,Skagit,WA,Passenger,182,155,337,90035,90372,0.37,Washington
246,April,2018,Wahkiakum,WA,Passenger,1,3,4,2887,2891,0.14,Washington
247,April,2018,Cape May,NJ,Passenger,0,1,1,21,22,4.55,Furthest
248,April,2018,Santa Fe,NM,Passenger,0,1,1,41,42,2.38,Mid-Distance
249,April,2018,Allegheny,PA,Passenger,1,0,1,76,77,1.3,Furthest
250,April,2018,Montgomery,MD,Passenger,1,0,1,293,294,0.34,Furthest
251,April,2018,Asotin,WA,Truck,0,0,0,6594,6594,0.0,Washington
252,April,2018,Grays Harbor,WA,Truck,0,0,0,20130,20130,0.0,Washington
253,April,2018,Stevens,WA,Truck,0,0,0,18512,18512,0.0,Washington
254,April,2018,Lewis,WA,Truck,0,0,0,25310,25310,0.0,Washington
255,April,2018,Snohomish,WA,Passenger,2189,1194,3383,518822,522205,0.65,Washington
256,April,2018,Kootenai,ID,Passenger,0,1,1,224,225,0.44,Nearest
257,April,2018,Columbia,WA,Truck,0,0,0,1523,1523,0.0,Washington
258,April,2018,Dallas,TX,Passenger,0,1,1,188,189,0.53,Mid-Distance
259,April,2018,Clark,WA,Passenger,943,657,1600,306447,308047,0.52,Washington
260,April,2018,Lee,AL,Passenger,1,0,1,32,33,3.03,Furthest
261,April,2018,Utah,UT,Passenger,0,1,1,136,137,0.73,Nearest
262,April,2018,Washtenaw,MI,Passenger,1,0,1,39,40,2.5,Furthest
263,April,2018,Marion,IN,Passenger,1,0,1,116,117,0.85,Furthest
264,April,2018,Adams,WA,Passenger,5,4,9,12523,12532,0.07,Washington
265,April,2018,Lewis,WA,Passenger,78,51,129,57351,57480,0.22,Washington
266,April,2018,Moore,NC,Passenger,0,1,1,195,196,0.51,Furthest
267,April,2018,Canyon,ID,Passenger,0,1,1,87,88,1.14,Nearest
268,April,2018,Sacramento,CA,Passenger,1,0,1,298,299,0.33,Nearest
269,April,2018,Pend Oreille,WA,Passenger,4,5,9,9474,9483,0.09,Washington
270,April,2018,Jefferson,NY,Passenger,1,0,1,220,221,0.45,Furthest
271,April,2018,Pierce,WA,Passenger,1154,1091,2245,529160,531405,0.42,Washington
272,April,2018,Shelby,TN,Passenger,0,1,1,101,102,0.98,Furthest
273,April,2018,Monroe,IL,Passenger,1,0,1,5,6,16.67,Mid-Distance
274,April,2018,Travis,TX,Passenger,0,1,1,189,190,0.53,Mid-Distance
275,April,2018,Jefferson,CO,Passenger,0,1,1,72,73,1.37,Mid-Distance
276,April,2018,El Paso,TX,Passenger,1,0,1,518,519,0.19,Mid-Distance
277,April,2018,Clallam,WA,Passenger,117,105,222,49605,49827,0.45,Washington
278,April,2018,San Mateo,CA,Passenger,1,1,2,133,135,1.48,Nearest
279,April,2018,Douglas,WA,Truck,0,0,0,11882,11882,0.0,Washington
280,April,2018,Williamson,TX,Passenger,0,1,1,157,158,0.63,Mid-Distance
281,April,2018,Richmond,GA,Passenger,0,1,1,91,92,1.09,Furthest
282,April,2018,Morris,NJ,Passenger,1,0,1,18,19,5.26,Furthest
283,April,2018,Benton,WA,Truck,0,0,0,40852,40852,0.0,Washington
284,April,2018,Fulton,GA,Passenger,1,1,2,100,102,1.96,Furthest
285,April,2018,Klickitat,WA,Truck,0,0,0,8070,8070,0.0,Washington
286,April,2018,Duval,FL,Passenger,1,2,3,377,380,0.79,Furthest
287,April,2018,Whatcom,WA,Passenger,593,269,862,146611,147473,0.58,Washington
288,April,2018,Hawaii,HI,Passenger,1,0,1,75,76,1.32,Nearest
289,April,2018,Dakota,MN,Passenger,0,2,2,37,39,5.13,Mid-Distance
290,April,2018,Walla Walla,WA,Passenger,34,40,74,35454,35528,0.21,Washington
291,April,2018,Spokane,WA,Passenger,318,288,606,301923,302529,0.2,Washington
292,April,2018,Adams,WA,Truck,0,0,0,5150,5150,0.0,Washington
293,April,2018,Hardin,KY,Passenger,0,1,1,118,119,0.84,Furthest
294,April,2018,Pacific,WA,Truck,0,0,0,7596,7596,0.0,Washington
295,April,2018,St. Clair,IL,Passenger,0,1,1,150,151,0.66,Mid-Distance
296,April,2018,Kitsap,WA,Passenger,742,441,1183,177372,178555,0.66,Washington
297,April,2018,Stevens,WA,Passenger,10,24,34,31585,31619,0.11,Washington
298,April,2018,Prince George's,MD,Passenger,1,1,2,185,187,1.07,Furthest
299,April,2018,San Juan,WA,Truck,0,0,0,5698,5698,0.0,Washington
300,April,2018,Manassas,VA,Passenger,0,1,1,9,10,10.0,Furthest
301,April,2018,Nueces,TX,Passenger,1,1,2,96,98,2.04,Mid-Distance
302,April,2018,Kittitas,WA,Passenger,40,32,72,28774,28846,0.25,Washington
303,April,2018,Clark,NV,Passenger,1,2,3,746,749,0.4,Nearest
304,April,2018,Polk,FL,Passenger,1,0,1,63,64,1.56,Furthest
305,April,2018,Broward,FL,Passenger,0,1,1,130,131,0.76,Furthest
306,April,2018,Grant,WA,Passenger,31,42,73,62794,62867,0.12,Washington
307,April,2018,Kitsap,WA,Truck,1,0,1,52991,52992,0.0,Washington
308,April,2018,Clallam,WA,Truck,0,0,0,21359,21359,0.0,Washington
309,April,2018,Sedgwick,KS,Passenger,0,1,1,99,100,1.0,Mid-Distance
310,April,2018,Whitman,WA,Passenger,20,24,44,22555,22599,0.19,Washington
311,April,2018,Whitman,WA,Truck,0,0,0,8463,8463,0.0,Washington
312,April,2018,Island,WA,Truck,0,0,0,20845,20845,0.0,Washington
313,April,2018,Carroll,NH,Passenger,0,1,1,1,2,50.0,Furthest
314,April,2018,Asotin,WA,Passenger,8,6,14,12640,12654,0.11,Washington
315,April,2018,San Francisco,CA,Passenger,0,1,1,133,134,0.75,Nearest
316,April,2018,Marin,CA,Passenger,1,0,1,56,57,1.75,Nearest
317,April,2018,Hamilton,TN,Passenger,1,0,1,23,24,4.17,Furthest
318,April,2018,Sumter,FL,Passenger,0,1,1,10,11,9.09,Furthest
319,April,2018,Klamath,OR,Passenger,1,0,1,34,35,2.86,Nearest
320,April,2018,Orleans,LA,Passenger,0,1,1,47,48,2.08,Mid-Distance
321,April,2018,Tuolumne,CA,Passenger,0,1,1,13,14,7.14,Nearest
322,April,2018,Queens,NY,Passenger,1,0,1,62,63,1.59,Furthest
323,April,2018,Clackamas,OR,Passenger,0,1,1,227,228,0.44,Nearest
324,April,2018,Deschutes,OR,Passenger,1,0,1,172,173,0.58,Nearest
325,April,2018,Ferry,WA,Passenger,2,3,5,4414,4419,0.11,Washington
326,April,2018,Garfield,WA,Truck,0,0,0,950,950,0.0,Washington
327,April,2018,Honolulu,HI,Passenger,2,2,4,532,536,0.75,Nearest
328,April,2018,Lumpkin,GA,Passenger,1,0,1,7,8,12.5,Furthest
329,April,2018,Wahkiakum,WA,Truck,0,0,0,1668,1668,0.0,Washington
330,April,2018,Pend Oreille,WA,Truck,0,0,0,5654,5654,0.0,Washington
331,April,2018,Pima,AZ,Passenger,1,1,2,415,417,0.48,Nearest
332,April,2018,New London,CT,Passenger,0,1,1,250,251,0.4,Furthest
333,April,2018,Norfolk,MA,Passenger,1,0,1,36,37,2.7,Furthest
334,April,2018,Virginia Beach,VA,Passenger,2,1,3,683,686,0.44,Furthest
335,April,2018,Arlington,VA,Passenger,1,2,3,172,175,1.71,Furthest
336,April,2018,Franklin,WA,Passenger,37,59,96,57403,57499,0.17,Washington
337,April,2018,Garfield,OK,Passenger,1,0,1,19,20,5.0,Mid-Distance
338,April,2018,Bexar,TX,Passenger,2,2,4,777,781,0.51,Mid-Distance
339,April,2018,Multnomah,OR,Passenger,4,4,8,816,824,0.97,Nearest
340,April,2018,Manatee,FL,Passenger,1,0,1,38,39,2.56,Furthest
341,April,2018,Mason,WA,Truck,0,0,0,19808,19808,0.0,Washington
342,April,2018,St. Lucie,FL,Passenger,1,0,1,26,27,3.7,Furthest
343,April,2018,Ada,ID,Passenger,0,2,2,331,333,0.6,Nearest
344,April,2018,El Paso,CO,Passenger,2,0,2,751,753,0.27,Mid-Distance
345,April,2018,Sangamon,IL,Passenger,1,0,1,11,12,8.33,Mid-Distance
346,April,2018,Brevard,FL,Passenger,0,1,1,102,103,0.97,Furthest
347,April,2018,San Diego,CA,Passenger,7,1,8,2553,2561,0.31,Nearest
348,April,2018,Tarrant,TX,Passenger,1,0,1,216,217,0.46,Mid-Distance
